"The Green Mile","Babe","Waterworld","Mad Max Beyond Thunderdome","Caddyshack"
"The Thin Red Line","Pitch Black","Bridge to Terabithia","Ed Wood","Godspell"
"Bolt","Gulliver's Travels","A Man Called Horse","Holiday","Virtuosity"
"Tokyo Story","The Ballad of Little Jo","Once Upon a Time in China II","Jezebel","The Straight Story"
"The Golden Voyage of Sinbad","Jack Frost","Midnight Express","King Solomon's Mines","In the Mood for Love"
"The Homecoming A Christmas Story","Madame Curie","Pride Of The Yankees","Little Big Man","A Mom for Christmas"
"Blow","Tender Mercies","Don't Look Now","Hannah and Her Sisters","Papillon"
"Lost in America","The Getaway","The Fast and the Furious","The Stranger","Au Revoir les Enfants"
"The Street Fighter","Panther Panchali","Mask","Weekend","Apollo 13"
"Halloween 4 The Return of Michael Myers","Wings of Desire","Hook","Le Mans","Battle of the Bulge"
"They Drive By Night","The Gathering","Flash Gordon Rocketship","Star Trek VI The Undiscovered Country","Day For Night"
"Congo","Spider Man 2","Night And The City","Abbott And Costello Meet Frankenstein","Sink the Bismarck"
"Last Tango in Paris","Doctor Dolittle","Ain't Misbehavin'","Three Amigos","Things To Come"
"21 Grams","Black Christmas","The Shining","Slacker","Kanal"
"Gandhi","The Doors","The Mask","Norma Rae","Horton Hears a Who"
"Romy And Michele's High School Reunion","The Exterminating Angel","History of the World Part 1","The Invisible Man","Little Shop of Horrors"
"Ghosts Of Mars","Pride and Prejudice","Midnight in Paris","Rashamon","Restrepo"
"Mildred Pierce","Tin Cup","All Dogs Go To Heaven","Desperado","Mary Queen of Scots"
"Ruthless People","Attack of the Killer Tomatoes","Sword of the Valient","The Untouchables","The Virgin Spring"
"Cabin Fever","City Streets","Precious Life","Manon Of The Spring","Moulin Rouge"
